time	Freq	W	B2	B1
2022-04-04, 09:42:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-04, 09:42:08	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-04, 09:42:10	0 Hz	0 W	1E3 mbar	4,3E2 mbar
2022-04-04, 09:42:12	0 Hz	0 W	1E3 mbar	3,4E2 mbar
2022-04-04, 09:42:14	0 Hz	0 W	1E3 mbar	2,6E2 mbar
2022-04-04, 09:42:16	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-04, 09:42:18	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-04-04, 09:42:20	0 Hz	0 W	6,2E2 mbar	1,4E2 mbar
2022-04-04, 09:42:22	0 Hz	0 W	3,6E2 mbar	1,1E2 mbar
2022-04-04, 09:42:24	0 Hz	0 W	2,5E2 mbar	9,3E1 mbar
2022-04-04, 09:42:26	0 Hz	0 W	1,7E2 mbar	7,8E1 mbar
2022-04-04, 09:42:28	0 Hz	0 W	1,5E2 mbar	6,6E1 mbar
2022-04-04, 09:42:30	0 Hz	0 W	1E2 mbar	5,9E1 mbar
2022-04-04, 09:42:32	0 Hz	0 W	8,5E1 mbar	5,3E1 mbar
2022-04-04, 09:42:34	0 Hz	0 W	6,8E1 mbar	4,5E1 mbar
2022-04-04, 09:42:36	0 Hz	0 W	5,9E1 mbar	3,8E1 mbar
2022-04-04, 09:42:38	0 Hz	0 W	5E1 mbar	3,5E1 mbar
2022-04-04, 09:42:40	0 Hz	0 W	4,1E1 mbar	3,2E1 mbar
2022-04-04, 09:42:42	0 Hz	0 W	3,7E1 mbar	2,9E1 mbar
2022-04-04, 09:42:44	0 Hz	0 W	3,3E1 mbar	2,6E1 mbar
2022-04-04, 09:42:46	0 Hz	0 W	3E1 mbar	2,1E1 mbar
2022-04-04, 09:42:48	0 Hz	0 W	2,6E1 mbar	1,9E1 mbar
2022-04-04, 09:42:50	0 Hz	0 W	2,3E1 mbar	1,8E1 mbar
2022-04-04, 09:42:52	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2022-04-04, 09:42:54	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2022-04-04, 09:42:56	0 Hz	0 W	1,7E1 mbar	1,4E1 mbar
2022-04-04, 09:42:58	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2022-04-04, 09:43:00	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-04, 09:43:02	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-04-04, 09:43:04	0 Hz	0 W	1,2E1 mbar	9,6E0 mbar
2022-04-04, 09:43:06	0 Hz	0 W	1E1 mbar	9,1E0 mbar
2022-04-04, 09:43:08	0 Hz	0 W	9,8E0 mbar	8,6E0 mbar
2022-04-04, 09:43:10	0 Hz	0 W	9,3E0 mbar	8,1E0 mbar
